Trial,Tool,Material,m_kg,v_ms,d_m,tau_pa,A_m2,k_Y,eta,Outcome
1,Razor blade,Human hair,0.01,2,5.00e-5,1.50e+8,5.00e-12,0.92,490666.67,Success
2,Surgical scalpel,Porcine tissue,0.025,1.2,1.00e-4,2.50e+6,1.20e-10,0.92,552000.00,Success
3,Chef's knife,Tomato,0.3,1.5,1.00e-3,5.00e+5,8.00e-9,0.65,67500.00,Success
4,Bone saw,Beef femur,0.45,3.2,5.00e-3,8.00e+7,2.50e-7,0.92,21.20,Success
5,Felling axe,Oak wood,1.8,10,2.00e-2,5.00e+7,3.00e-6,0.85,25.50,Success
6,Pruning shears,Rose stem,0.25,2.5,5.00e-4,3.00e+7,1.50e-7,0.85,295.14,Success
7,Butter knife,Hemp rope,0.12,3.8,1.80e-2,1.00e+8,2.20e-4,0.85,0.00,Success
8,Metal shears,Aluminum sheet,0.5,3,5.00e-4,1.50e+8,5.00e-7,0.72,43.20,Success
9,Diamond scalpel,Human cornea,0.015,0.5,5.00e-5,1.80e+7,2.00e-11,0.92,95833.33,Success
10,Rock drill,Granite,2,8,1.00e-1,2.00e+8,1.00e-5,0.65,0.21,Success
11,Laser cutter,Titanium foil,0.001,300000000,1.00e-4,5.00e+8,1.00e-12,0.72,648000000000000000000.00,Success
12,Ceramic knife,Silicone gel,0.15,0.8,2.00e-3,1.00e+6,1.50e-8,0.92,1472.00,Success
13,Chainsaw,Pine resin,3,15,1.50e-1,3.00e+7,2.50e-4,0.85,0.26,Failure
14,Glass cutter,Tempered glass,0.05,0.3,5.00e-3,7.00e+8,1.00e-9,0.65,0.42,Failure
15,Plasma torch,Steel plate,0.002,1000000,1.00e-2,4.00e+8,5.00e-10,0.72,360000000000.00,Success
16,Obsidian blade,Leather,0.08,4,1.00e-4,3.00e+7,5.00e-11,0.92,3925333.33,Success
17,Microtome,Plant cell,0.001,0.2,2.00e-6,1.00e+6,1.00e-13,0.92,92000000.00,Success
18,Circular saw,Plastic,1.2,12,1.00e-2,5.00e+7,1.00e-5,0.8,13.82,Success
19,Waterjet,Marble,0.0005,600,5.00e-2,6.00e+7,1.00e-8,0.65,1950.00,Success
20,Ultrasonic cutter,Rubber,0.1,0.5,5.00e-3,5.00e+6,1.00e-7,0.8,4.00,Success
21,Wire cutters,Copper wire,0.08,4.5,2.00e-4,1.20e+8,1.00e-8,0.72,2430.00,Success
22,Chisel,Concrete,0.6,6,5.00e-2,3.50e+7,5.00e-5,0.65,0.08,Failure
23,Industrial laser,Acrylic,0.002,300000000,3.00e-3,2.00e+7,2.00e-9,0.8,600000000000000000.00,Success
24,Scissors,Paper,0.1,1.2,1.00e-4,1.00e+6,1.50e-8,0.85,40800.00,Success
25,Tree lopper,Branch,1.2,8.5,3.00e-2,4.00e+7,8.00e-6,0.85,3.84,Success
26,Glass knife,Quartz,0.02,0.4,2.00e-3,1.50e+9,5.00e-10,0.65,0.69,Failure
27,Plasma scalpel,Biological gel,0.005,200000,1.00e-3,5.00e+4,1.00e-11,0.92,184000000000000032.00,Success
28,Circular saw,Plywood,1.5,15,1.50e-2,3.00e+7,2.00e-5,0.85,15.94,Success
29,Machete,Jungle vine,0.75,12,5.00e-3,2.00e+7,1.00e-6,0.85,459.00,Success
30,Nanotube blade,Cell membrane,0.0001,0.1,1.00e-7,1.00e+5,1.00e-15,0.92,46000000000.00,Success
31,Obsidian arrowhead,Deer tendon,0.03,15,2.00e-4,5.00e+7,1.00e-9,0.92,310500.00,Success
