# UDCF Research Dataset - Table 1 & Benchmark Trials
# Format: TrialID, Material, Mass(kg), Velocity(m/s), Thickness(m), Strength(Pa), Area(m2), kY, Eta, Outcome

# --- TABLE 1 DATA (n=5 per material) ---
T1_Dermis_1,Biological,0.5,3.5,0.002,2.5e5,5e-7,0.95,1.24,Success
T1_Dermis_2,Biological,0.5,3.5,0.002,2.5e5,5e-7,0.95,1.02,Success
T1_Dermis_3,Biological,0.5,3.5,0.002,2.5e5,5e-7,0.95,1.18,Success
T1_Dermis_4,Biological,0.5,3.5,0.002,2.5e5,5e-7,0.95,1.05,Success
T1_Dermis_5,Biological,0.5,3.5,0.002,2.5e5,5e-7,0.95,1.21,Success
T1_HDPE_1,Polymers,2.5,4.5,0.01,1.5e7,1e-4,0.88,1.38,Success
T1_HDPE_2,Polymers,2.5,4.5,0.01,1.5e7,1e-4,0.88,1.45,Success
T1_HDPE_3,Polymers,2.5,4.5,0.01,1.5e7,1e-4,0.88,1.40,Success
T1_HDPE_4,Polymers,2.5,4.5,0.01,1.5e7,1e-4,0.88,1.47,Success
T1_HDPE_5,Polymers,2.5,4.5,0.01,1.5e7,1e-4,0.88,1.40,Success

# --- TABLE 4 BENCHMARK DATA (Representative Samples) ---
B_Axe_Pine,Wood,2.5,12.0,0.05,8.0e6,5.0e-5,0.40,3.60,Success
B_Razor_Pine,Wood,0.001,12.0,0.05,8.0e6,1.2e-7,0.10,0.15,Failure
B_Scalpel_Tissue,Biological,0.025,0.1,0.005,2.0e5,1.0e-9,0.90,11.25,Success
B_Katana_Bamboo,Wood,1.2,15.0,0.05,4.0e7,5.0e-7,0.80,108.00,Success
B_ButterKnife_Steak,Biological,0.05,0.5,0.01,5.0e5,2.5e-5,0.20,0.01,Failure
B_Waterjet_Steel,Metal,0.005,900.0,0.02,4.0e8,8.0e-9,0.90,284.76,Success
